id,twitter
119,MH370  
120,RT @KerajaanRakyat2: Berlakon sakit dan masuk hospital. takut #sprm cekup. Ini org yg sapu duit Tabung Haji. betul2 macam dlm filem Tamil.…
121,RT @armanamin330: @KerajaanRakyat2 Dapat maklumat ada usaha bawa keluar dokumen. Boleh tanya kawan Tabung Haji. Ada yg berjaya dibawa kelua…
122,"RT @HidupBer1: Ayuh @SPRMMalaysia jalankan kerja dn kewajipan, kamu tiada dikongkong oleh sesiapa lagi ..  "
123,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
124,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
125,"I'm at Bangunan Tabung Haji in Kuala Lumpur, WP Kuala Lumpur  "
126,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
127,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
128,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
129,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
130,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
131,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
132,RT @ZaimUwais: Demi mengangkat ketelusan &amp; kerajaan bersih yg dilaungkan PH.   Rakyat Malaysia mahu PH buat siasatan segera juga terhadap P…
133,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
134,RT @KerajaanRakyat2: Berlakon sakit dan masuk hospital. takut #sprm cekup. Ini org yg sapu duit Tabung Haji. betul2 macam dlm filem Tamil.…
135,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
136,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
137,"‼️FSKM STUDENTS who are interested  to OPEN TABUNG HAJI ACCOUNT, the details are as follows:‼️  DATE: 16th May 2018…  "
138,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
139,RT @KerajaanRakyat2: Berlakon sakit dan masuk hospital. takut #sprm cekup. Ini org yg sapu duit Tabung Haji. betul2 macam dlm filem Tamil.…
140,RT @ZaimUwais: Demi mengangkat ketelusan &amp; kerajaan bersih yg dilaungkan PH.   Rakyat Malaysia mahu PH buat siasatan segera juga terhadap P…
141,"RT @ascmyofficial: ‼️FSKM STUDENTS who are interested  to OPEN TABUNG HAJI ACCOUNT, the details are as follows:‼️  DATE: 16th May 2018 (Tod…"
